Material,Batch,End Date,Period,Year,U.O.M.,Theoretical Yield,G.R.Qty,Total Input in ML,QC Qty (ML),Theoretical Yield(ML),G.R.Qty(ML),Waste in ML,% Waste loss,Waste Total Cost
ON0348A,6888453,14/01/2024,1,2024,PLT,969.895,917,175841.16,1260,174581.1,165060,9521.1,5.5,169.48
HY6856M,6888463,14/01/2024,1,2024,PLT,115.375,115,22871.3,950,21921.25,21850,71.25,0.3,1.28
WS4394K,6888473,14/01/2024,1,2024,PLT,208.312,173,54291.165,130,54161.12,44980,9181.12,17,108.34
DM9609U,6888483,14/01/2024,1,2024,PLT,124.415,114,28730.5,115,28615.45,26220,2395.45,8.4,50.54
YW6837P,6888493,14/01/2024,1,2024,PLT,419.823,40,109336,182,109153.98,10400,98753.98,90.5,1313.43
YW6837P,6888503,14/01/2024,1,2024,PLT,419.823,339,109336,182,109153.98,88140,21013.98,19.3,279.49
YW6837P,6888513,14/01/2024,1,2024,PLT,419.823,354,109336,182,109153.98,92040,17113.98,15.7,227.62
YW6837P,6888523,14/01/2024,1,2024,PLT,419.823,344,109336,182,109153.98,89440,19713.98,18.1,262.2
GF2716Q,6888533,14/01/2024,1,2024,PLT,1719.317,1727,310917,1440,309477.06,310860,1382.94,-0.4,-16.6
TC8027C,6888543,14/01/2024,1,2024,PLT,137.921,132,26300,95,26204.99,25080,1124.99,4.3,14.29
JQ7006J,6888553,14/01/2024,1,2024,PLT,1580.954,1516,415208,4160,411048.04,394160,16888.04,4.1,162.13
ER5186B,6888563,14/01/2024,1,2024,PLT,322.195,301,61350,133,61217.05,57190,4027.05,6.6,40.67
ER5186B,6888573,14/01/2024,1,2024,PLT,322.195,308,61350,133,61217.05,58520,2697.05,4.4,27.24
RO7331C,6888583,14/01/2024,1,2024,PLT,2365.667,1243,426108,288,425820.06,223740,202080.06,47.5,2465.38
WK5752N,6888593,14/01/2024,1,2024,PLT,137.9,126,26296,95,26201,23940,2261,8.6,26.45
IJ9081N,6888603,14/01/2024,1,2024,PLT,78.583,66,15025.68,95,14930.77,12540,2390.77,16,34.19
RL3369N,6888613,14/01/2024,1,2024,PLT,359.752,322,63079.02,122.5,62956.6,56350,6606.6,10.5,142.04
JO6751Q,6888623,14/01/2024,1,2024,PLT,112.623,105,21493.43,95,21398.37,19950,1448.37,6.8,16.37
NR9725U,6888633,14/01/2024,1,2024,PLT,80.495,67,25950.25,192,25758.4,21440,4318.4,16.8,80.75
PT4146F,6888643,14/01/2024,1,2024,PLT,870.364,866,157925.492,1260,156665.52,155880,785.52,0.5,13.43
PT4146F,6888653,14/01/2024,1,2024,PLT,870.364,856,157925.492,1260,156665.52,154080,2585.52,1.7,44.21
PT4146F,6888663,14/01/2024,1,2024,PLT,870.364,843,157925.492,1260,156665.52,151740,4925.52,3.1,84.23
PT4146F,6888673,14/01/2024,1,2024,PLT,870.364,845,157925.492,1260,156665.52,152100,4565.52,2.9,78.07
JW3722P,6888683,14/01/2024,1,2024,PLT,291.449,0,52550.753,90,52460.82,0,52460.82,100,1489.89
SX0386C,6888693,14/01/2024,1,2024,PAK,938,739,159579,119,159460,125630,33830,21.2,734.11
MW3029Y,6888703,14/01/2024,1,2024,PAK,929.3,720,158100,119,157981,122400,35581,22.5,419.86
SA2071C,6888713,14/01/2024,1,2024,PAK,698.229,650,118920,221,118698.93,110500,8198.93,6.9,173
LU1488S,6888723,14/01/2024,1,2024,PAK,1858.671,1685,316110,136,315974.07,286450,29524.07,9.3,404.48
DY9426M,6888733,14/01/2024,1,2024,PAK,1256.424,1161,213728,136,213592.08,197370,16222.08,7.6,215.75
BS9035V,6888743,14/01/2024,1,2024,PAK,665.618,585,113274,119,113155.06,99450,13705.06,12.1,349.48
BS9035V,6888753,14/01/2024,1,2024,PAK,665.618,600,113274,119,113155.06,102000,11155.06,9.9,284.45
TM8121L,6888763,14/01/2024,1,2024,PAK,723.897,675,123181.44,119,123062.49,114750,8312.49,6.8,145.47
UL5050K,6888773,17/01/2024,1,2024,PLT,298.804,267,54684.75,900,53784.72,48060,5724.72,10.6,88.16
SQ1707I,6888783,17/01/2024,1,2024,PLT,946.797,911,171683.37,1260,170423.46,163980,6443.46,3.8,119.2
YQ5607V,6888793,17/01/2024,1,2024,PLT,1214.589,1067,220066,1440,218626.02,192060,26566.02,12.2,555.23
RF4956X,6888803,17/01/2024,1,2024,PLT,606.78,503,109346.322,126,109220.4,90540,18680.4,17.1,295.15
VF5276R,6888813,17/01/2024,1,2024,PLT,911.977,807,164281.8,126,164155.86,145260,18895.86,11.5,300.44
YW6837P,6888823,17/01/2024,1,2024,PLT,419.823,276,109336,182,109153.98,71760,37393.98,34.3,497.34
YW6837P,6888833,17/01/2024,1,2024,PLT,419.823,348,109336,182,109153.98,90480,18673.98,17.1,248.36
ZD2214Q,6888843,17/01/2024,1,2024,PLT,944.245,897,170090.16,126,169964.1,161460,8504.1,5,127.56
EG2772G,6888853,17/01/2024,1,2024,PLT,944.314,920,170102.46,126,169976.52,165600,4376.52,2.6,66.96
VL0646O,6888863,17/01/2024,1,2024,PLT,208.508,178,41801.514,100,41701.6,35600,6101.6,14.6,363.66
KS8093X,6888873,17/01/2024,1,2024,PAK,289.159,239,49292.96,136,49157.03,40630,8527.03,17.3,145.81
EN0891Z,6888883,17/01/2024,1,2024,PAK,125.247,101,21377,85,21291.99,17170,4121.99,19.4,96.04
RJ0828L,6888893,17/01/2024,1,2024,PLT,1151.367,1076,207390,144,207246.06,193680,13566.06,6.5,158.72
NH7826U,6888903,17/01/2024,1,2024,PLT,1163,1135,209484,144,209340,204300,5040,2.4,74.59
ER5186B,6888913,17/01/2024,1,2024,PLT,322.195,298,61350,133,61217.05,56620,4597.05,7.5,46.43
ER5186B,6888923,17/01/2024,1,2024,PLT,322.195,313,61350,133,61217.05,59470,1747.05,2.9,17.65
ER5186B,6888933,17/01/2024,1,2024,PLT,322.195,300,61350,133,61217.05,57000,4217.05,6.9,42.59
UF3027B,6888943,17/01/2024,1,2024,PLT,137.03,54,26130.75,95,26035.7,10260,15775.7,60.6,233.48
KB1841S,6888953,17/01/2024,1,2024,PLT,1113.995,1168,211811,152,211659.05,221920,10260.95,-4.8,-116.97
IG7072I,6888963,17/01/2024,1,2024,PLT,336.838,286,64132.2,133,63999.22,54340,9659.22,15.1,162.27
FG2953V,6888973,17/01/2024,1,2024,PLT,1221.872,1082,220081,144,219936.96,194760,25176.96,11.4,498.5
HB4287V,6888983,17/01/2024,1,2024,PLT,1817.217,1662,418144,184,417959.91,382260,35699.91,8.5,596.19
DF0683I,6888993,17/01/2024,1,2024,PLT,58.044,45,10537.9,90,10447.92,8100,2347.92,22.5,34.28
JH5406A,6889003,17/01/2024,1,2024,PLT,907.217,494,163425,126,163299.06,88920,74379.06,45.5,1591.71
QY7604W,6889013,17/01/2024,1,2024,PLT,343.217,301,61905,126,61779.06,54180,7599.06,12.3,111.71
OR0171G,6889023,17/01/2024,1,2024,PLT,2303.244,2260,414872,288,414583.92,406800,7783.92,1.9,168.91
